"id","sex","major","haveCat","haveDog","heightCM","yearsInUni","extraversion","optimism","gratitude","foodPreference","spicyTolerance","ladderRank","fomo","conflictAvoidance","happiness","stress","tiktokLiking","chatgptLiking","memeKnowledge","cognitiveAbility"
273,"F","PSYC","No","No",152,1,3,4,4,"Connexion",3,3,3,5,3,2,3,2,3,5
274,"M","PSYC","No","No",178,5,6,3,3,"Funan",5,4,4,2,4,5,3,5,3,3
275,"M","PSYC","No","No",173,3,5,4,3,"Funan",5,5,4,2,4,4,5,5,5,4
276,"F","SOCG","No","No",159,3,4,3,5,"Funan",7,5,2,2,6,3,4,4,3,4
277,"F","SOCG","No","No",162,2,3,4,5,"Funan",5,4,4,3,4,3,4,4,4,4
278,"F","POSC","No","No",167,1,3,4,4,"Connexion",3,6,5,5,4,3,3,5,4,3
279,"M","PSYC","Yes","No",183,1,4,5,3,"Connexion",3,5,5,4,4,3,4,4,4,4
280,"M","PSYC","Yes","No",175,1,4,5,4,"Funan",5,7,5,2,5,3,3,4,3,3
281,"F","POSC","Yes","No",159,2,3,4,6,"Funan",5,5,2,3,5,4,4,4,4,4
282,"M","SOCG","No","Yes",163,1,4,7,3,"Koufu",3,7,3,4,5,3,2,3,2,3
283,"M","SOCG","Yes","Yes",175,2,5,4,4,"Connexion",3,5,4,4,4,5,3,3,3,4
284,"M","POSC","No","No",174,2,5,6,3,"Koufu",3,8,4,4,5,4,4,6,4,3
285,"F","SOCG","No","No",158,1,3,5,4,"Funan",6,6,4,3,4,4,4,4,4,4
286,"F","POSC","No","Yes",157,2,4,4,5,"Funan",4,4,3,5,5,2,3,3,3,5
287,"M","POSC","No","Yes",178,3,5,6,4,"Connexion",4,7,5,3,5,5,4,5,5,4
288,"M","POSC","Yes","No",164,4,5,5,3,"Funan",5,7,5,3,5,5,4,5,5,5
289,"F","PSYC","Yes","No",164,3,3,3,5,"Funan",6,5,3,3,5,6,2,4,2,2
290,"F","PSYC","Yes","No",165,2,2,4,5,"Funan",7,4,3,3,5,3,2,3,2,3
291,"M","SOCG","Yes","No",173,2,4,6,3,"Funan",5,9,5,3,6,4,3,4,4,4
292,"M","POSC","No","No",172,2,4,6,3,"Connexion",4,8,4,3,5,2,4,3,4,6
293,"F","PSYC","No","No",163,2,3,4,4,"Connexion",4,4,5,4,4,4,3,5,3,2
294,"F","SOCG","No","Yes",157,3,4,3,5,"Koufu",5,4,4,3,4,4,3,4,3,3
295,"F","POSC","No","Yes",171,2,4,4,4,"Funan",4,5,3,5,5,4,3,3,3,4
296,"F","SOCG","Yes","No",172,3,4,4,5,"Connexion",3,4,4,5,5,4,4,4,4,4
297,"F","POSC","No","No",163,2,3,4,5,"Connexion",4,4,3,4,5,3,2,4,2,2
298,"M","SOCG","No","No",170,4,4,3,4,"Connexion",3,5,5,5,3,5,4,6,4,3
299,"F","PSYC","Yes","No",159,2,4,3,6,"Funan",4,3,3,4,2,3,3,4,3,3
300,"M","PSYC","Yes","No",183,4,5,4,3,"Connexion",4,5,5,3,4,5,3,4,4,4
301,"M","PSYC","Yes","No",178,3,4,4,3,"Connexion",3,6,5,5,4,4,5,5,5,4
302,"M","PSYC","No","No",164,3,4,5,4,"Funan",4,5,5,4,4,3,3,4,3,4
303,"M","PSYC","No","Yes",167,1,4,5,4,"Funan",5,5,4,3,4,3,4,4,4,4
304,"F","PSYC","No","No",161,3,3,3,5,"Funan",5,5,3,3,4,5,4,4,4,4
305,"M","PSYC","Yes","Yes",169,4,6,5,3,"Funan",6,6,5,2,4,4,4,4,5,6
306,"M","PSYC","No","No",187,3,5,4,4,"Koufu",3,6,5,4,4,4,4,5,4,4
307,"F","PSYC","No","No",164,2,3,4,5,"Koufu",2,6,4,6,5,3,3,5,3,3
308,"F","POSC","No","No",167,2,4,4,5,"Connexion",4,4,3,4,4,3,4,3,4,5
309,"M","POSC","No","No",172,1,4,7,4,"Koufu",3,9,2,4,6,1,3,4,3,4
310,"M","PSYC","Yes","No",179,2,4,5,3,"Koufu",2,7,5,5,5,4,2,4,2,2
311,"M","PSYC","Yes","No",171,3,4,5,3,"Funan",4,6,5,3,4,4,3,6,3,2
312,"M","PSYC","No","Yes",172,2,4,5,4,"Koufu",2,7,4,5,5,2,2,3,2,4
313,"M","PSYC","No","No",170,3,5,5,4,"Connexion",3,7,3,5,5,4,5,4,5,5
314,"M","PSYC","Yes","No",171,4,5,5,3,"Funan",3,7,5,4,5,4,3,5,3,3
315,"F","POSC","No","No",167,5,5,2,4,"Koufu",4,3,5,5,4,5,4,3,4,5
316,"M","PSYC","No","No",179,4,5,5,4,"Koufu",3,5,4,4,5,4,3,4,3,4
317,"F","POSC","Yes","No",154,4,3,2,5,"Connexion",3,4,4,5,4,5,4,4,4,4
318,"M","PSYC","Yes","Yes",180,3,6,5,3,"Funan",6,6,5,2,5,3,3,3,3,5
319,"F","PSYC","No","No",158,3,3,3,3,"Connexion",3,3,5,5,3,5,5,6,5,3
320,"M","POSC","No","No",173,4,5,4,4,"Funan",4,4,4,4,4,4,3,4,3,4
321,"F","SOCG","No","No",169,3,4,4,4,"Koufu",3,5,4,5,4,3,3,5,3,3
322,"M","POSC","No","No",178,1,4,6,4,"Connexion",2,7,4,5,6,3,4,4,4,4
323,"M","SOCG","Yes","No",182,3,5,5,3,"Koufu",3,5,5,4,4,3,3,5,3,3
324,"M","SOCG","No","No",166,2,4,6,3,"Koufu",2,7,5,5,5,5,5,5,5,4
325,"F","PSYC","Yes","Yes",165,2,4,4,4,"Connexion",3,3,3,5,4,3,3,2,3,5
326,"F","PSYC","No","No",157,2,4,4,4,"Koufu",4,6,5,4,3,5,4,4,4,3
327,"M","PSYC","No","No",190,1,5,6,4,"Connexion",2,8,4,5,6,3,4,3,4,5
328,"F","PSYC","No","Yes",167,1,4,5,4,"Connexion",4,4,3,4,4,3,4,2,4,5
329,"F","PSYC","No","Yes",157,2,4,4,5,"Funan",4,5,3,4,5,3,4,5,4,3
330,"F","SOCG","Yes","No",163,3,4,4,4,"Connexion",3,5,4,4,4,5,2,2,2,4
331,"F","PSYC","No","No",160,1,3,5,5,"Funan",3,7,4,5,5,3,4,5,4,3
332,"M","PSYC","Yes","No",175,2,5,4,3,"Koufu",3,5,5,5,4,4,3,6,4,2
333,"F","PSYC","No","No",148,5,4,2,4,"Funan",4,3,6,4,2,6,5,5,5,4
334,"F","SOCG","Yes","No",155,3,3,4,5,"Koufu",3,5,3,5,3,4,3,2,3,5
335,"F","SOCG","Yes","No",166,5,5,2,5,"Koufu",3,3,5,4,3,6,5,4,5,5
336,"M","PSYC","No","No",174,3,5,5,4,"Connexion",4,8,4,4,6,4,4,4,4,5
337,"F","POSC","Yes","No",159,3,3,3,4,"Koufu",4,4,3,5,3,4,3,4,3,3
338,"F","SOCG","No","No",156,1,2,5,6,"Koufu",3,5,3,5,6,3,3,2,3,5
339,"M","PSYC","No","No",174,1,4,5,3,"Funan",6,8,5,2,4,3,3,6,3,2
340,"M","POSC","No","No",179,4,5,4,4,"Connexion",3,6,5,4,5,4,4,5,5,5
341,"M","PSYC","Yes","No",181,4,6,5,2,"Connexion",3,6,6,3,4,5,3,5,4,3
342,"M","PSYC","No","No",170,2,4,5,2,"Funan",5,7,5,3,4,3,3,5,3,3
343,"F","PSYC","No","No",172,3,3,3,6,"Connexion",4,4,3,5,5,4,3,5,3,2
344,"F","PSYC","No","No",153,3,3,3,6,"Connexion",3,3,3,5,3,5,2,2,2,4
345,"F","SOCG","No","No",153,1,3,5,5,"Koufu",3,7,3,5,5,1,4,4,4,5
346,"M","POSC","Yes","No",169,4,5,4,4,"Funan",5,5,5,3,3,4,2,5,2,2
347,"F","PSYC","Yes","No",162,3,4,3,6,"Connexion",3,5,2,5,5,5,2,3,2,3
348,"F","PSYC","Yes","No",171,4,3,2,4,"Funan",4,3,3,5,4,6,3,3,3,4
349,"M","PSYC","No","No",182,1,5,6,3,"Koufu",3,6,5,4,5,3,4,5,4,3
350,"M","PSYC","No","Yes",171,2,5,5,4,"Koufu",4,8,4,4,6,3,3,3,4,6
351,"M","POSC","No","No",160,2,4,5,5,"Connexion",2,6,3,5,5,2,4,4,4,5
352,"M","PSYC","No","Yes",175,3,5,4,3,"Koufu",4,5,5,3,4,5,4,5,5,4
353,"F","SOCG","Yes","No",167,4,4,1,5,"Funan",4,2,3,4,2,6,3,3,3,4
354,"F","SOCG","Yes","Yes",168,2,4,4,5,"Koufu",3,5,3,4,5,4,3,4,3,3
355,"F","SOCG","No","Yes",161,5,4,3,5,"Funan",5,4,3,4,4,5,3,4,3,4
356,"M","PSYC","No","No",179,4,5,3,3,"Koufu",4,3,6,4,3,5,4,5,4,3
357,"F","PSYC","Yes","No",164,4,4,3,5,"Koufu",3,3,4,5,4,4,4,3,4,5
358,"F","PSYC","No","No",170,2,3,4,5,"Connexion",3,5,3,5,4,3,3,3,3,4
359,"F","SOCG","Yes","No",144,4,3,2,4,"Koufu",3,2,4,4,1,5,4,4,4,4
360,"F","SOCG","Yes","No",162,1,2,4,5,"Koufu",2,5,4,5,4,2,4,3,4,5
361,"F","PSYC","Yes","No",162,4,3,4,4,"Koufu",3,5,4,5,4,3,4,4,4,5
362,"M","PSYC","Yes","No",172,1,4,5,3,"Funan",4,6,5,4,5,3,6,4,6,6
363,"F","POSC","Yes","Yes",158,3,4,4,4,"Koufu",4,5,4,4,4,5,4,3,4,5
364,"F","PSYC","Yes","No",158,2,3,5,5,"Connexion",4,5,4,5,4,4,3,4,3,3
365,"M","POSC","No","No",172,4,5,4,3,"Connexion",3,5,4,4,3,5,4,4,4,4
366,"F","POSC","Yes","No",161,4,3,3,4,"Connexion",3,1,3,6,3,4,4,3,4,5
367,"M","PSYC","Yes","Yes",176,4,6,5,5,"Funan",5,7,3,2,6,3,4,4,4,5
368,"F","PSYC","No","No",152,1,3,5,3,"Koufu",3,5,6,6,3,4,3,5,3,2
369,"M","PSYC","No","No",164,4,5,4,3,"Koufu",2,7,4,4,5,5,4,5,4,4
370,"M","SOCG","Yes","No",183,4,6,4,4,"Connexion",4,6,4,3,5,3,4,4,4,5
371,"M","PSYC","No","Yes",172,2,4,6,3,"Koufu",3,7,4,4,5,2,4,4,4,5
372,"M","PSYC","No","Yes",178,4,6,5,4,"Koufu",3,9,5,3,6,4,2,4,2,3
373,"F","SOCG","Yes","No",168,2,3,4,5,"Funan",5,5,3,4,5,4,3,3,3,4
374,"F","PSYC","No","No",160,5,5,2,5,"Koufu",2,3,2,5,4,4,5,4,4,5
375,"F","PSYC","Yes","Yes",169,3,5,3,4,"Koufu",3,2,3,4,4,5,2,2,2,4
376,"M","POSC","No","No",169,2,4,5,4,"Koufu",4,7,4,4,6,3,3,4,3,4
377,"M","PSYC","Yes","No",173,3,5,4,4,"Funan",4,6,5,3,4,5,4,5,5,4
378,"M","POSC","No","No",179,3,5,5,4,"Koufu",4,7,4,3,5,5,3,4,3,3
379,"F","POSC","No","No",162,3,4,3,6,"Funan",4,4,3,4,4,4,3,3,3,4
380,"F","PSYC","No","No",170,3,4,4,4,"Koufu",5,5,5,3,3,5,5,5,5,4
381,"F","PSYC","No","Yes",166,1,3,6,4,"Connexion",4,6,5,5,4,3,2,5,2,2
382,"F","PSYC","No","No",154,3,3,3,4,"Koufu",3,4,4,6,3,3,4,3,3,5
383,"F","PSYC","No","No",171,3,4,3,4,"Connexion",5,3,4,3,3,4,4,3,4,5
384,"F","PSYC","Yes","Yes",168,2,5,4,4,"Funan",5,4,3,3,4,4,3,4,3,3
385,"F","PSYC","Yes","No",158,1,3,4,6,"Connexion",2,4,3,5,4,3,4,2,4,5
386,"F","SOCG","No","No",169,2,3,3,5,"Connexion",4,4,4,4,4,4,2,3,2,3
387,"M","POSC","Yes","No",171,3,5,4,3,"Koufu",5,6,6,2,4,5,4,5,4,3
388,"F","SOCG","No","No",166,3,4,3,5,"Connexion",3,2,4,5,4,4,4,4,4,4
389,"M","PSYC","No","No",172,2,4,5,4,"Funan",4,5,3,4,5,4,3,4,3,3
390,"F","POSC","No","Yes",158,3,4,4,4,"Koufu",4,6,3,4,4,4,3,4,3,4
391,"F","SOCG","No","Yes",151,3,4,4,3,"Funan",5,5,6,4,3,4,4,6,4,3
392,"F","SOCG","Yes","Yes",167,4,5,2,5,"Koufu",4,1,4,3,3,5,4,3,4,5
393,"F","SOCG","No","No",164,2,3,4,5,"Funan",4,6,4,4,5,3,4,4,4,4
394,"F","PSYC","No","No",165,2,3,4,5,"Funan",4,5,3,5,5,4,3,4,3,3
395,"F","SOCG","No","No",169,1,3,5,5,"Connexion",2,5,4,6,6,3,4,4,4,4
396,"F","POSC","No","No",147,3,3,3,5,"Connexion",2,4,5,6,4,4,5,4,5,5
397,"F","SOCG","Yes","Yes",163,3,5,2,4,"Connexion",3,2,5,4,2,5,3,4,4,4
398,"M","POSC","No","No",174,3,5,5,4,"Funan",5,8,4,3,6,3,2,4,3,4
399,"F","SOCG","No","No",173,2,4,3,3,"Koufu",3,5,6,4,3,5,5,5,5,4
400,"M","POSC","Yes","Yes",176,3,5,4,3,"Koufu",3,5,4,4,6,4,2,5,3,3
401,"F","PSYC","Yes","No",151,4,3,3,5,"Koufu",2,3,3,6,4,7,3,3,3,3
402,"M","PSYC","Yes","Yes",178,3,6,5,4,"Connexion",3,5,4,4,4,5,4,4,4,4
403,"F","POSC","No","Yes",160,2,3,4,5,"Connexion",4,4,3,5,4,2,3,3,3,5
404,"M","POSC","Yes","Yes",170,1,4,5,3,"Funan",5,6,4,2,5,3,4,4,4,4
405,"F","PSYC","Yes","No",153,3,2,4,4,"Funan",3,4,4,6,3,4,5,3,5,6
406,"F","SOCG","No","No",161,3,4,4,6,"Koufu",4,4,3,4,4,4,3,4,3,3
407,"M","PSYC","No","No",168,3,5,3,4,"Koufu",3,6,4,4,5,4,5,5,5,4
408,"M","POSC","No","Yes",173,2,4,5,3,"Koufu",3,6,5,4,4,5,3,4,4,3
409,"F","SOCG","No","No",171,3,4,3,5,"Connexion",2,4,4,5,4,4,4,4,4,4
410,"F","PSYC","Yes","No",151,3,3,4,4,"Koufu",3,3,4,5,3,4,4,4,4,4
411,"F","PSYC","No","Yes",156,3,3,3,5,"Koufu",2,3,3,7,3,3,3,2,3,5
412,"F","PSYC","No","No",154,4,4,5,5,"Connexion",2,6,5,6,4,5,4,3,4,5
413,"F","PSYC","No","No",161,5,5,2,4,"Funan",4,3,3,4,4,6,3,3,4,5
414,"M","PSYC","No","No",166,2,4,5,3,"Connexion",4,6,4,4,5,3,4,5,4,3
415,"M","PSYC","Yes","Yes",171,2,5,5,3,"Koufu",3,7,3,4,6,3,3,3,3,4
416,"F","SOCG","Yes","No",171,2,3,4,5,"Connexion",4,5,4,4,5,4,5,4,5,5
417,"M","SOCG","Yes","No",172,4,5,4,3,"Koufu",3,4,5,3,4,5,4,4,4,4
418,"F","POSC","No","Yes",160,2,4,4,4,"Funan",4,4,4,4,3,4,3,4,3,3
419,"M","PSYC","Yes","Yes",186,3,6,5,3,"Koufu",3,7,5,4,6,4,3,4,3,4
420,"M","POSC","No","Yes",174,2,5,4,2,"Koufu",4,5,6,4,4,5,4,4,5,4
421,"F","POSC","Yes","Yes",153,2,4,4,4,"Koufu",3,5,4,5,3,4,3,3,4,5
422,"M","SOCG","Yes","No",194,1,5,5,3,"Koufu",3,6,5,5,5,3,4,4,4,4
423,"M","POSC","No","Yes",164,2,4,6,4,"Connexion",2,7,3,5,6,3,3,3,3,5
424,"M","POSC","No","No",178,2,4,5,3,"Connexion",3,5,3,4,5,2,3,2,3,5
425,"M","POSC","No","No",171,4,5,4,4,"Connexion",3,6,5,4,5,5,3,4,4,4
426,"M","POSC","Yes","No",169,1,4,5,3,"Koufu",4,6,5,4,5,3,5,4,5,5
427,"F","PSYC","No","Yes",156,4,3,2,4,"Koufu",4,2,5,5,2,6,4,6,5,3
428,"M","PSYC","Yes","No",177,3,4,5,3,"Koufu",3,5,4,4,5,3,5,4,5,6
429,"F","PSYC","Yes","No",169,3,4,5,5,"Koufu",4,6,4,4,5,4,5,4,5,5
430,"M","SOCG","No","No",178,4,5,3,4,"Koufu",3,4,4,4,4,3,3,4,3,4
431,"F","PSYC","Yes","No",161,3,3,3,6,"Funan",5,3,3,4,4,3,3,3,3,4
432,"M","PSYC","No","No",181,2,5,5,3,"Koufu",3,6,5,4,5,3,4,6,4,3
433,"F","POSC","No","No",160,2,3,5,5,"Funan",3,5,4,6,5,3,3,5,3,3
434,"F","PSYC","Yes","No",156,2,2,3,6,"Funan",5,5,3,4,4,3,4,3,4,5
435,"F","PSYC","No","Yes",156,5,5,2,4,"Koufu",4,2,5,4,3,6,4,5,4,3
436,"M","POSC","Yes","No",177,3,5,4,4,"Connexion",3,6,4,4,5,5,2,4,3,3
437,"M","PSYC","No","No",175,2,5,6,4,"Funan",4,8,4,4,6,3,3,4,3,4
438,"M","POSC","No","No",181,3,4,5,3,"Koufu",3,6,5,4,5,5,3,5,4,3
439,"F","PSYC","Yes","No",167,4,3,2,5,"Koufu",4,2,4,4,3,6,4,4,4,4
440,"F","PSYC","No","No",160,3,4,3,4,"Connexion",4,5,5,4,3,4,4,5,4,3
441,"F","POSC","No","No",157,5,4,2,4,"Connexion",3,2,3,5,3,5,2,5,2,2
442,"M","SOCG","No","No",175,3,5,4,3,"Funan",5,5,6,2,3,5,5,6,5,3
443,"M","PSYC","No","No",175,1,4,6,4,"Koufu",3,7,4,5,6,2,2,4,2,3
444,"M","PSYC","Yes","No",175,2,5,5,5,"Connexion",4,7,3,3,5,3,1,2,1,4
445,"F","SOCG","No","No",153,4,3,3,6,"Koufu",2,2,2,5,3,4,3,3,3,4
446,"F","PSYC","Yes","No",167,3,3,3,5,"Koufu",4,4,3,5,4,5,4,4,4,4
447,"M","SOCG","No","Yes",174,3,6,4,4,"Connexion",3,4,4,3,4,3,2,4,2,3
448,"F","POSC","Yes","No",158,4,4,3,5,"Funan",5,4,5,4,3,5,3,4,4,4
449,"M","POSC","No","No",170,1,4,5,4,"Connexion",3,8,4,5,6,3,2,5,2,2
450,"M","POSC","No","No",175,2,5,6,3,"Koufu",2,7,5,5,5,4,4,6,4,2
451,"F","PSYC","Yes","No",170,3,3,3,5,"Koufu",4,4,5,5,4,5,4,4,5,5
452,"M","POSC","No","No",172,1,4,7,3,"Funan",3,8,4,5,5,3,4,4,5,5
453,"F","PSYC","Yes","No",156,2,3,4,4,"Funan",5,5,4,4,3,3,2,4,2,3
454,"F","PSYC","Yes","No",171,4,4,3,6,"Funan",6,4,3,3,4,4,3,3,3,5
455,"M","PSYC","No","No",175,5,5,3,5,"Koufu",4,5,4,3,4,5,5,4,5,6
456,"M","PSYC","No","No",173,4,5,5,4,"Connexion",4,6,3,3,5,5,3,5,3,3
457,"M","POSC","No","No",176,2,5,6,3,"Koufu",4,8,4,4,5,3,4,5,4,4
458,"M","PSYC","No","No",158,1,4,6,3,"Koufu",3,9,6,4,5,4,4,6,4,2
459,"F","PSYC","No","Yes",164,4,5,3,4,"Koufu",5,4,4,4,3,5,5,5,5,4
460,"F","POSC","No","No",159,3,4,4,4,"Connexion",4,6,3,4,5,5,3,4,3,3
461,"F","SOCG","Yes","Yes",159,3,4,3,5,"Connexion",3,4,4,4,3,4,3,5,3,3
462,"M","POSC","No","No",151,3,4,5,3,"Funan",5,6,6,3,3,3,5,5,5,5
463,"F","PSYC","Yes","Yes",163,2,4,4,5,"Connexion",3,5,4,5,5,3,3,3,3,4
464,"M","SOCG","No","Yes",178,4,5,3,3,"Funan",6,7,4,1,5,5,3,4,3,4
465,"F","POSC","Yes","No",173,2,3,4,4,"Koufu",4,6,3,5,5,4,5,5,5,4
466,"F","SOCG","Yes","No",151,2,3,5,5,"Connexion",4,5,3,4,4,4,3,2,3,5
467,"F","POSC","No","No",156,3,4,4,5,"Koufu",4,5,3,4,5,3,5,4,5,5
468,"F","SOCG","Yes","No",156,3,3,3,6,"Funan",3,4,3,4,4,4,2,2,2,4
469,"F","POSC","No","No",162,4,4,4,5,"Funan",5,4,4,3,4,4,3,4,3,4
470,"M","POSC","No","No",163,3,4,4,4,"Funan",4,5,4,4,4,4,3,6,4,3
471,"M","PSYC","No","Yes",166,4,6,5,3,"Koufu",4,6,4,3,4,4,5,5,5,5
472,"M","PSYC","No","No",165,4,5,6,4,"Funan",5,7,4,3,5,4,3,5,4,4
473,"F","SOCG","Yes","No",152,3,3,3,5,"Koufu",5,3,3,3,3,6,3,4,3,2
474,"M","POSC","Yes","No",168,4,5,4,3,"Connexion",4,5,4,4,4,5,4,4,5,5
475,"M","POSC","Yes","Yes",172,3,6,4,3,"Koufu",3,4,4,3,5,4,3,4,3,3
476,"F","PSYC","No","No",164,3,4,3,4,"Connexion",4,5,3,4,5,4,5,3,5,6
477,"F","POSC","Yes","No",158,2,3,4,4,"Connexion",4,6,4,5,5,4,4,4,4,4
478,"M","SOCG","No","No",178,3,5,5,3,"Funan",5,7,5,2,4,3,3,5,3,3
479,"F","PSYC","Yes","Yes",154,2,4,4,5,"Koufu",2,4,4,6,5,3,4,5,4,3
480,"M","PSYC","No","Yes",187,3,6,4,4,"Koufu",3,6,3,3,6,4,2,4,2,3
481,"M","PSYC","No","No",170,3,4,5,4,"Connexion",3,6,4,5,4,4,3,4,3,3
482,"M","PSYC","No","No",183,3,5,6,2,"Connexion",4,7,7,4,5,3,6,6,6,5
483,"F","POSC","No","No",154,2,3,4,6,"Funan",5,5,2,4,5,3,1,1,1,4
484,"F","POSC","No","No",161,2,3,4,4,"Funan",4,6,4,4,5,3,5,5,5,4
485,"F","PSYC","No","No",161,3,5,3,6,"Funan",6,4,4,2,4,4,3,4,3,3
486,"M","POSC","No","No",178,3,5,5,3,"Funan",5,6,5,3,4,4,4,5,4,3
487,"F","PSYC","No","No",157,1,3,5,5,"Connexion",4,5,2,5,4,3,3,2,3,5
488,"F","SOCG","No","No",169,3,4,4,5,"Connexion",3,6,3,4,4,4,4,2,4,6
489,"F","SOCG","No","No",162,3,4,3,5,"Connexion",4,3,4,4,3,5,6,4,6,5
490,"M","SOCG","No","Yes",179,2,5,5,4,"Funan",5,6,4,2,5,4,5,4,5,5
491,"F","SOCG","No","No",177,3,5,3,5,"Connexion",3,3,4,4,4,4,4,4,4,4
492,"M","PSYC","No","No",182,5,6,4,3,"Funan",6,6,5,1,4,5,5,6,5,4
493,"M","PSYC","No","No",163,3,4,5,5,"Koufu",3,5,3,5,6,4,4,4,4,4
494,"F","SOCG","No","Yes",172,4,5,3,5,"Koufu",3,5,3,4,5,5,4,3,4,5
495,"M","PSYC","No","No",181,4,5,4,3,"Funan",4,6,4,4,5,4,3,4,3,4
496,"F","POSC","Yes","No",158,2,3,4,5,"Funan",3,6,3,5,4,3,3,4,3,4
497,"M","PSYC","Yes","Yes",176,1,5,6,4,"Connexion",3,5,4,5,5,3,4,4,4,4
498,"F","PSYC","Yes","Yes",167,3,5,4,5,"Funan",4,3,3,4,3,4,2,4,2,2
499,"F","PSYC","Yes","No",163,5,4,2,5,"Funan",4,3,3,4,3,6,4,3,4,5
500,"M","POSC","No","Yes",175,4,5,4,3,"Connexion",4,7,5,4,5,5,4,4,5,5
501,"F","SOCG","No","No",165,2,4,4,4,"Koufu",3,5,3,4,5,4,4,3,4,5
502,"F","PSYC","Yes","Yes",170,2,4,4,5,"Connexion",3,4,4,5,3,4,3,3,3,4
503,"M","POSC","No","No",164,2,4,6,4,"Connexion",2,7,3,4,5,2,2,5,2,2
504,"M","PSYC","No","No",171,4,5,4,3,"Koufu",3,4,4,4,3,4,4,5,4,4
505,"F","SOCG","Yes","No",158,3,3,3,4,"Koufu",4,4,5,4,4,6,4,5,4,3
506,"M","POSC","Yes","No",171,2,4,5,3,"Koufu",4,6,4,4,4,4,4,4,4,4
507,"F","POSC","No","No",157,2,3,4,5,"Koufu",3,3,4,5,3,5,4,4,4,3
508,"F","PSYC","No","No",163,1,3,4,5,"Connexion",4,4,4,4,4,2,3,5,3,3
509,"F","PSYC","No","No",154,3,4,4,4,"Funan",6,4,3,2,4,4,4,3,4,5
510,"F","SOCG","No","Yes",156,2,3,5,4,"Funan",4,4,4,4,4,4,2,3,2,3
511,"M","SOCG","No","No",172,2,5,4,4,"Funan",5,5,3,2,5,4,4,3,4,5
512,"M","PSYC","No","No",188,1,6,7,3,"Koufu",3,8,5,4,6,3,5,4,5,5
513,"F","PSYC","No","No",156,5,4,3,5,"Koufu",4,5,3,4,4,5,3,4,3,4
514,"F","PSYC","No","No",167,3,4,3,5,"Connexion",3,4,3,4,4,4,4,5,4,3
515,"F","SOCG","No","No",155,1,3,5,5,"Connexion",3,6,3,5,5,3,3,4,3,3
516,"M","PSYC","Yes","Yes",177,3,5,4,3,"Funan",5,5,6,3,4,5,4,5,5,4
517,"M","SOCG","No","No",188,1,5,5,3,"Funan",4,6,5,3,5,3,5,6,5,3
518,"F","POSC","No","No",155,2,4,4,5,"Connexion",3,4,3,5,5,4,4,5,4,3
519,"F","SOCG","Yes","No",166,4,4,2,6,"Funan",4,3,2,4,3,4,4,3,4,5
520,"M","PSYC","No","No",172,2,4,5,3,"Funan",5,6,5,2,5,3,2,4,3,3
521,"M","PSYC","No","No",171,1,4,7,5,"Koufu",3,7,3,4,6,2,4,4,4,4
522,"F","PSYC","Yes","No",156,2,3,4,5,"Koufu",2,6,3,5,5,3,3,3,3,4
523,"F","PSYC","No","Yes",157,4,4,3,5,"Connexion",3,2,4,5,3,5,5,4,5,5
524,"F","SOCG","Yes","No",162,3,4,2,6,"Funan",5,2,3,3,3,4,4,3,4,5
525,"F","SOCG","No","Yes",154,1,3,5,5,"Funan",4,5,3,4,4,3,5,4,5,5
526,"M","POSC","No","No",181,3,5,5,4,"Funan",5,6,4,3,4,3,3,5,3,3
527,"F","SOCG","No","No",160,1,2,5,5,"Koufu",3,4,2,5,5,1,2,2,2,5
528,"F","PSYC","Yes","Yes",160,2,4,5,6,"Connexion",2,7,2,6,5,3,3,3,3,4
529,"F","PSYC","Yes","Yes",153,4,5,2,4,"Koufu",3,2,4,4,3,6,2,3,3,3
530,"F","PSYC","No","No",161,3,4,3,5,"Koufu",3,3,3,5,4,5,3,3,3,4
531,"M","POSC","No","Yes",174,4,5,3,3,"Funan",4,4,4,3,4,6,4,3,4,5
532,"M","PSYC","No","No",174,1,4,6,4,"Funan",5,7,4,3,5,2,5,4,5,5
533,"M","POSC","No","Yes",185,1,5,5,4,"Connexion",2,5,4,4,6,3,3,3,4,5
534,"F","SOCG","Yes","No",168,3,4,4,5,"Koufu",3,3,4,5,4,4,4,3,4,5
535,"M","PSYC","Yes","No",170,1,4,6,3,"Connexion",4,7,5,4,5,3,4,5,4,3
536,"M","PSYC","Yes","No",175,5,6,3,2,"Koufu",4,3,6,3,2,5,3,5,4,4
537,"F","PSYC","No","No",162,3,3,4,4,"Koufu",3,4,3,5,5,4,2,4,2,3
538,"M","PSYC","No","No",174,4,5,5,4,"Funan",4,6,4,4,5,5,4,5,4,4
539,"F","PSYC","No","No",170,3,4,3,5,"Funan",6,5,4,2,4,3,4,4,4,5
540,"M","SOCG","Yes","No",171,1,3,7,4,"Koufu",3,7,4,5,6,3,4,4,4,4
541,"F","PSYC","No","No",164,4,3,2,5,"Connexion",3,4,3,5,4,5,3,3,3,4
542,"M","PSYC","Yes","Yes",178,5,7,4,4,"Koufu",4,7,5,3,4,5,4,5,4,4
543,"F","PSYC","Yes","No",175,1,4,5,5,"Connexion",3,6,3,5,5,2,2,3,2,3
544,"F","PSYC","Yes","No",168,3,4,3,4,"Connexion",3,3,4,4,4,5,3,4,3,3
545,"F","PSYC","No","No",168,1,3,4,6,"Connexion",3,4,3,6,4,3,4,3,4,5
